Wall time,Step,Value
1710678546.6659944,18,1.609286904335022
1710678586.0589309,47,1.5941975116729736
1710678606.381782,62,1.59699285030365
1710678607.7068052,63,1.6068168878555298
1710678642.5542147,89,1.600149393081665
1710678661.2863696,103,1.5585639476776123
1710678666.630534,107,1.5893453359603882
1710678694.5228617,128,1.5903854370117188
1710678741.9834645,164,1.5864429473876953
1710678752.362084,172,1.5568727254867554
1710678777.2704391,191,1.5929505825042725
1710678793.075438,203,1.578755259513855
1710678847.6890204,244,1.5596504211425781
1710678867.807387,259,1.5658750534057617
1710678898.5382042,282,1.5342563390731812
1710678902.5268788,285,1.5566167831420898
1710678947.552955,319,1.5632902383804321
1710679009.663685,366,1.5526349544525146
1710679035.7782047,386,1.5932670831680298
1710679057.0550961,402,1.5911849737167358
1710679074.1210668,415,1.580878496170044
1710679103.1199448,437,1.5455996990203857
1710679139.753162,465,1.563374638557434
1710679152.804547,475,1.5297292470932007
1710679160.7683547,481,1.5217465162277222
1710679198.8197207,510,1.5283819437026978
1710679228.8284357,533,1.5901679992675781
1710679235.4314682,538,1.5633630752563477
1710679238.0038238,540,1.538866400718689
1710679259.1469223,556,1.5715291500091553
1710679267.0727608,562,1.5396455526351929
1710679309.2525132,594,1.5543259382247925
1710679311.8334785,596,1.5712260007858276
1710679366.0320148,637,1.5349165201187134
1710679373.9471495,643,1.5554147958755493
1710679375.248599,644,1.5226036310195923
1710679393.3951685,658,1.5135631561279297
1710679416.1299086,675,1.5550172328948975
1710679477.0612144,721,1.577130913734436
1710679533.7901738,764,1.5682495832443237
1710679548.5856597,775,1.577094316482544
1710679586.911513,804,1.5608049631118774
1710679656.67021,857,1.510677695274353
1710679668.473497,866,1.5025291442871094
1710679694.7555046,886,1.560623288154602
1710679768.5449965,942,1.5399487018585205
1710679843.4272838,999,1.5514193773269653
1710679864.452454,1015,1.549940824508667
1710679878.9835076,1026,1.558251976966858
1710679893.5220068,1037,1.5391731262207031
1710679918.7223163,1056,1.513837456703186
1710679938.5249238,1071,1.5410034656524658
1710679946.474523,1077,1.4890527725219727
1710679988.7879925,1109,1.574793815612793
1710679991.3530052,1111,1.5844162702560425
1710680009.8830328,1125,1.520476222038269
1710680019.1108062,1132,1.5406831502914429
1710680044.080881,1151,1.572790503501892
1710680045.3893611,1152,1.4590803384780884
1710680061.1028743,1164,1.5538655519485474
1710680074.1690214,1174,1.518113613128662
1710680076.7741992,1176,1.5603876113891602
1710680087.3540037,1184,1.5407317876815796
1710680131.932226,1218,1.4690628051757812
1710680176.2071075,1252,1.5635693073272705
1710680178.852393,1254,1.4802043437957764
1710680182.771396,1257,1.525960922241211
1710680188.0614338,1261,1.5196850299835205
1710680195.9278166,1267,1.514269471168518
1710680201.1792257,1271,1.5214701890945435
1710680272.0216527,1325,1.5380587577819824
1710680298.2877111,1345,1.5419304370880127
1710680337.5662072,1375,1.4654523134231567
