Wall time,Step,Value
1710993285.2239954,18,2.2666666507720947
1710993325.0670493,47,-1.1333333253860474
1710993345.5785854,62,5.599999904632568
1710993346.9329598,63,2.7333333492279053
1710993382.0886981,89,8.399999618530273
1710993401.2942898,103,-1.399999976158142
1710993406.7101104,107,-5.0
1710993434.9269898,128,3.2666666507720947
1710993484.400547,164,0.800000011920929
1710993495.4524884,172,-1.2666666507720947
1710993520.9799092,191,6.4666666984558105
1710993536.7957504,203,7.0
1710993590.5228903,244,-4.5333333015441895
1710993610.7488656,259,5.400000095367432
1710993640.585767,282,-1.7999999523162842
1710993644.6168487,285,18.46666717529297
1710993689.1789877,319,-3.2666666507720947
1710993750.2983055,366,-1.0666667222976685
1710993776.4911144,386,2.066666603088379
1710993797.096648,402,23.66666603088379
1710993813.949449,415,-0.3333333432674408
1710993842.6233866,437,-1.399999976158142
1710993878.874311,465,5.199999809265137
1710993891.837697,475,5.066666603088379
1710993899.5972598,481,-2.3333332538604736
1710993937.4109514,510,2.066666603088379
1710993967.6195877,533,10.600000381469727
1710993974.055628,538,-0.6000000238418579
1710993976.6208086,540,-7.133333206176758
1710993997.7996411,556,3.5999999046325684
1710994005.5874946,562,3.866666555404663
1710994047.0535717,594,5.266666889190674
1710994049.6891232,596,20.133333206176758
1710994103.313046,637,2.866666555404663
1710994111.110473,643,-6.4666666984558105
1710994112.4124298,644,-2.5999999046325684
1710994130.7399073,658,13.399999618530273
1710994152.7703404,675,-1.0
1710994211.9359767,721,12.333333015441895
1710994265.9345229,764,10.866666793823242
1710994279.706866,775,-21.0
1710994315.5277033,804,0.5333333611488342
1710994381.5003822,857,7.5333333015441895
1710994392.8740108,866,-1.3333333730697632
1710994417.8678472,886,-4.800000190734863
1710994488.3039467,942,14.399999618530273
1710994560.0183418,999,-5.066666603088379
1710994580.361046,1015,0.800000011920929
1710994594.322062,1026,9.399999618530273
1710994608.191027,1037,-4.266666889190674
1710994632.4797113,1056,11.733333587646484
1710994651.7705834,1071,12.399999618530273
1710994659.28056,1077,18.133333206176758
1710994699.5183184,1109,7.400000095367432
1710994702.0149965,1111,-2.2666666507720947
1710994719.7591448,1125,14.0
1710994728.5818527,1132,18.46666717529297
1710994752.3370416,1151,15.199999809265137
1710994753.6485178,1152,1.7999999523162842
1710994768.9069872,1164,-2.5999999046325684
1710994781.4040112,1174,5.400000095367432
1710994783.898908,1176,-0.3333333432674408
1710994793.9492652,1184,3.200000047683716
1710994837.4878316,1218,4.599999904632568
1710994880.7842672,1252,-0.9333333373069763
1710994883.4423394,1254,13.399999618530273
1710994887.289186,1257,13.733333587646484
1710994892.278371,1261,34.93333435058594
1710994899.776729,1267,10.733333587646484
1710994904.8788948,1271,18.866666793823242
1710994972.9071183,1325,4.5333333015441895
1710994998.3878753,1345,16.33333396911621
1710995035.9705544,1375,24.200000762939453
1710995037.2018342,1376,-0.4000000059604645
1710995087.9835007,1417,7.333333492279053
1710995138.9881375,1457,5.400000095367432
1710995140.1994965,1458,15.533333778381348
1710995186.3376923,1494,25.066667556762695
1710995196.5552788,1502,-5.266666889190674
1710995206.6597154,1510,23.933332443237305
1710995210.4202156,1513,14.466666221618652
1710995254.5227654,1548,13.933333396911621
1710995258.2861152,1551,16.866666793823242
