Wall time,Step,Value
1710591607.0380728,4,-19.733333587646484
1710591626.8469553,18,1.5333333015441895
1710591657.481223,40,-6.4666666984558105
1710591667.247684,47,7.733333110809326
1710591688.4998627,62,0.7333333492279053
1710591689.9291077,63,2.6666667461395264
1710591700.7773552,71,-9.0
1710591709.0493197,77,8.333333015441895
1710591716.0963807,82,-2.866666555404663
1710591725.6759331,89,2.3333332538604736
1710591744.9948595,103,4.933333396911621
1710591750.531827,107,2.0
1710591769.8669128,121,2.0
1710591779.4766457,128,11.0
1710591782.2409606,130,7.199999809265137
1710591820.1009016,157,12.399999618530273
1710591824.1886194,160,8.933333396911621
1710591826.9404304,162,-9.066666603088379
1710591829.6852963,164,-2.200000047683716
1710591840.8160465,172,-1.8666666746139526
1710591867.1851242,191,5.5333333015441895
1710591883.8246315,203,-2.5333333015441895
1710591886.6007211,205,3.933333396911621
1710591920.0032852,229,-0.06666667014360428
1710591940.7803001,244,14.133333206176758
1710591942.1647184,245,0.8666666746139526
1710591961.6518984,259,8.800000190734863
1710591978.4192815,271,16.066667556762695
1710591982.4959378,274,-5.266666889190674
1710591993.6035955,282,1.4666666984558105
1710591997.7443178,285,11.600000381469727
1710592011.5299141,295,-9.600000381469727
1710592040.3155584,316,-14.466666221618652
1710592044.4219863,319,10.533333778381348
1710592048.6209228,322,19.600000381469727
1710592081.9492414,346,15.333333015441895
1710592098.7070007,358,3.4666666984558105
1710592106.9103813,364,8.333333015441895
1710592109.666888,366,12.733333587646484
1710592126.2551076,378,8.466666221618652
1710592137.3227937,386,-1.399999976158142
1710592142.871344,390,5.133333206176758
1710592159.457724,402,10.933333396911621
1710592177.9260707,415,2.2666666507720947
1710592187.6915255,422,10.199999809265137
1710592206.965294,436,11.333333015441895
1710592208.4463716,437,19.600000381469727
1710592211.2621274,439,5.933333396911621
1710592221.1055517,446,1.2666666507720947
1710592241.8524377,461,3.799999952316284
1710592247.4301252,465,6.199999809265137
1710592261.4999838,475,-8.199999809265137
1710592268.5219064,480,10.800000190734863
1710592269.9207036,481,5.066666603088379
1710592278.3524103,487,11.133333206176758
1710592310.221405,510,14.333333015441895
1710592313.091532,512,12.199999809265137
1710592314.4773538,513,2.066666603088379
1710592320.0056343,517,5.266666889190674
1710592342.3697464,533,15.399999618530273
1710592349.4292521,538,-1.4666666984558105
1710592352.289344,540,1.399999976158142
1710592368.9191952,552,2.066666603088379
1710592374.3485503,556,13.533333778381348
1710592382.6258988,562,16.266666412353516
1710592421.7259057,590,24.133333206176758
1710592427.3010175,594,14.133333206176758
1710592430.1323273,596,19.933332443237305
1710592475.0203226,628,6.266666889190674
1710592476.444415,629,2.4666666984558105
1710592487.7386239,637,-0.5333333611488342
1710592496.0082088,643,8.066666603088379
1710592497.4283457,644,11.933333396911621
1710592516.7617633,658,3.200000047683716
1710592529.232444,667,8.800000190734863
1710592540.3159754,675,24.66666603088379
1710592565.90837,694,8.866666793823242
1710592602.7749949,721,0.20000000298023224
1710592608.483742,725,11.466666221618652
1710592634.8928106,744,-4.5333333015441895
1710592662.5704308,764,13.866666793823242
1710592677.8242233,775,3.7333333492279053
1710592679.2544463,776,10.933333396911621
1710592687.470834,782,11.066666603088379
1710592695.862503,788,14.800000190734863
1710592717.9446852,804,17.133333206176758
1710592719.3316047,805,16.600000381469727
1710592722.0929036,807,3.933333396911621
1710592738.6387231,819,8.266666412353516
1710592756.6463408,832,10.199999809265137
1710592791.3143492,857,14.800000190734863
1710592803.6718493,866,7.266666889190674
1710592810.637959,871,5.933333396911621
1710592831.4851668,886,12.533333778381348
1710592846.7186298,897,13.666666984558105
1710592852.225523,901,10.800000190734863
1710592892.5341072,930,5.066666603088379
1710592909.1241002,942,15.333333015441895
1710592918.7584963,949,0.3333333432674408
1710592987.804542,999,3.3333332538604736
1710592991.965482,1002,13.800000190734863
1710592994.7532551,1004,20.733333587646484
1710593010.103249,1015,22.933332443237305
1710593019.693957,1022,7.866666793823242
1710593025.1478639,1026,17.53333282470703
1710593027.8385634,1028,20.066667556762695
1710593040.1113644,1037,10.399999618530273
1710593066.2493665,1056,23.866666793823242
1710593085.5233858,1070,1.4666666984558105
1710593086.934996,1071,-2.066666603088379
1710593089.709733,1073,14.266666412353516
1710593095.2897396,1077,11.0
1710593107.815164,1086,0.7333333492279053
1710593124.317264,1098,-10.733333587646484
1710593129.8597636,1102,7.5333333015441895
1710593132.5936465,1104,17.46666717529297
1710593139.5958562,1109,9.666666984558105
1710593142.3890183,1111,-1.2000000476837158
1710593156.230002,1121,8.266666412353516
1710593161.7313714,1125,1.0666667222976685
1710593171.2932136,1132,11.933333396911621
1710593173.9838743,1134,-7.800000190734863
1710593190.651153,1146,11.199999809265137
1710593197.5074098,1151,4.0
1710593198.9438982,1152,-6.5333333015441895
1710593215.6625154,1164,5.133333206176758
1710593229.6410756,1174,28.133333206176758
1710593232.4021673,1176,11.266666412353516
1710593243.4838283,1184,7.0
1710593255.7785063,1193,18.266666412353516
1710593257.0964334,1194,15.199999809265137
1710593290.0089157,1218,9.333333015441895
1710593299.641242,1225,-3.133333444595337
1710593328.9702594,1246,20.266666412353516
1710593335.8895872,1251,21.600000381469727
1710593337.2480614,1252,5.199999809265137
1710593340.072367,1254,34.46666717529297
1710593344.3134885,1257,22.46666717529297
1710593349.8949704,1261,12.600000381469727
1710593358.2968004,1267,7.0
1710593363.6958706,1271,14.466666221618652
